,dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
17,DistalPhalanxTW,0.5179856115107914,0.5899280575539568,0.5179856115107914,0.5179856115107914,0.60431654676259,0.5827338129496403,0.5179856115107914,0.5107913669064749,0.5323741007194245,0.5323741007194245
18,Earthquakes,0.697841726618705,0.6762589928057554,0.6762589928057554,0.6834532374100719,0.6258992805755396,0.6906474820143885,0.7194244604316546,0.697841726618705,0.6546762589928058,0.6618705035971223
19,ECG200,0.76,0.82,0.82,0.69,0.81,0.76,0.79,0.84,0.78,0.72
20,ECG5000,0.9042222222222224,0.9133333333333332,0.9146666666666666,0.9068888888888887,0.9077777777777778,0.8886666666666667,0.9051111111111112,0.8951111111111111,0.9077777777777778,0.898
21,ECGFiveDays,0.7700348432055749,0.7119628339140535,0.6596980255516841,0.7038327526132404,0.7514518002322881,0.7212543554006968,0.7921022067363531,0.7653890824622532,0.6666666666666666,0.7038327526132404
22,FaceAll,0.4550295857988166,0.5414201183431953,0.5946745562130178,0.580473372781065,0.5349112426035503,0.5236686390532544,0.6094674556213018,0.5396449704142012,0.5331360946745562,0.6130177514792899
23,FaceFour,0.375,0.3636363636363636,0.3068181818181818,0.25,0.4318181818181818,0.3977272727272727,0.3409090909090909,0.3068181818181818,0.4431818181818182,0.3295454545454545
24,FacesUCR,0.4375609756097561,0.5429268292682927,0.577560975609756,0.5263414634146342,0.5209756097560976,0.5107317073170732,0.5195121951219512,0.5180487804878049,0.3765853658536585,0.5546341463414635
25,FiftyWords,0.356043956043956,0.345054945054945,0.4087912087912088,0.3384615384615385,0.3538461538461538,0.3758241758241758,0.3736263736263736,0.3252747252747253,0.3494505494505494,0.421978021978022
26,Fish,0.4514285714285714,0.3942857142857143,0.4514285714285714,0.3142857142857143,0.48,0.6342857142857142,0.52,0.4514285714285714,0.52,0.4342857142857143
27,FordA,0.8598484848484849,0.8257575757575758,0.843939393939394,0.8393939393939394,0.8265151515151515,0.8356060606060606,0.8628787878787879,0.8348484848484848,0.8318181818181818,0.8333333333333334
28,FordB,0.7074074074074074,0.682716049382716,0.7049382716049383,0.6962962962962963,0.6814814814814815,0.6876543209876543,0.7037037037037037,0.6938271604938272,0.691358024691358,0.6901234567901234
29,GunPoint,0.7533333333333333,0.6866666666666666,0.6666666666666666,0.7066666666666667,0.6533333333333333,0.6333333333333333,0.7,0.6533333333333333,0.5533333333333333,0.7333333333333333
30,Ham,0.5523809523809524,0.6,0.5333333333333333,0.6,0.5904761904761905,0.5523809523809524,0.5047619047619047,0.4857142857142857,0.5238095238095238,0.4952380952380952
31,HandOutlines,0.8189189189189189,0.7864864864864864,0.7945945945945946,0.7918918918918919,0.7432432432432432,0.8243243243243243,0.7837837837837838,0.7864864864864864,0.8243243243243243,0.7648648648648648
32,Haptics,0.3084415584415584,0.3116883116883117,0.3246753246753247,0.3311688311688311,0.3149350649350649,0.3181818181818182,0.2857142857142857,0.3441558441558441,0.3279220779220779,0.3149350649350649
33,Herring,0.453125,0.578125,0.578125,0.65625,0.546875,0.625,0.59375,0.4375,0.53125,0.515625
34,InlineSkate,0.2545454545454545,0.2527272727272727,0.2109090909090909,0.2290909090909091,0.249090909090909,0.2545454545454545,0.2109090909090909,0.2545454545454545,0.18,0.2181818181818181
35,InsectWingbeatSound,0.3217171717171717,0.2863636363636364,0.3106060606060606,0.301010101010101,0.3095959595959596,0.3247474747474747,0.307070707070707,0.308080808080808,0.3015151515151515,0.295959595959596
36,ItalyPowerDemand,0.7463556851311953,0.771622934888241,0.7220602526724975,0.6579203109815355,0.7230320699708455,0.6375121477162293,0.7580174927113703,0.6783284742468416,0.7599611273080661,0.7988338192419825
37,LargeKitchenAppliances,0.6906666666666667,0.68,0.6906666666666667,0.712,0.7013333333333334,0.7306666666666667,0.7146666666666667,0.6586666666666666,0.7013333333333334,0.6826666666666666
38,Lightning2,0.5737704918032787,0.6229508196721312,0.5737704918032787,0.6229508196721312,0.639344262295082,0.639344262295082,0.6557377049180327,0.5901639344262295,0.6229508196721312,0.6557377049180327
39,Lightning7,0.3972602739726027,0.4520547945205479,0.4520547945205479,0.3972602739726027,0.4657534246575342,0.5205479452054794,0.5616438356164384,0.3698630136986301,0.4520547945205479,0.3972602739726027
40,Mallat,0.4601279317697228,0.5368869936034115,0.6140724946695096,0.5876332622601279,0.5748400852878465,0.500639658848614,0.4614072494669509,0.5249466950959488,0.5002132196162047,0.5343283582089552
41,Meat,0.6333333333333333,0.8,0.8333333333333334,0.8666666666666667,0.8166666666666667,0.7833333333333333,0.7,0.5666666666666667,0.8333333333333334,0.6666666666666666
42,MedicalImages,0.575,0.5171052631578947,0.5434210526315789,0.5447368421052632,0.5013157894736842,0.525,0.5736842105263158,0.525,0.5289473684210526,0.5157894736842106
