,dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
23,FaceFour,0.8977272727272727,0.9204545454545454,0.9318181818181818,0.9318181818181818,0.8977272727272727,0.9204545454545454,0.9431818181818182,0.8863636363636364,0.9318181818181818,0.9318181818181818
24,FacesUCR,0.8795121951219512,0.8775609756097561,0.884390243902439,0.8839024390243903,0.8863414634146342,0.8848780487804878,0.8746341463414634,0.8892682926829268,0.8858536585365854,0.8834146341463415
25,FiftyWords,0.6461538461538462,0.6351648351648351,0.6241758241758242,0.6505494505494506,0.621978021978022,0.643956043956044,0.6373626373626373,0.643956043956044,0.621978021978022,0.6285714285714286
26,Fish,0.8971428571428571,0.8914285714285715,0.8971428571428571,0.8914285714285715,0.8914285714285715,0.8857142857142857,0.8971428571428571,0.8914285714285715,0.88,0.8971428571428571
27,FordA,0.8666666666666667,0.8742424242424243,0.8742424242424243,0.8674242424242424,0.8742424242424243,0.878030303030303,0.8636363636363636,0.878030303030303,0.8666666666666667,0.8810606060606061
28,FordB,0.7283950617283951,0.745679012345679,0.7395061728395061,0.7209876543209877,0.7333333333333333,0.7308641975308642,0.7123456790123457,0.7333333333333333,0.725925925925926,0.7246913580246913
29,GunPoint,0.9733333333333334,0.98,0.9733333333333334,0.9733333333333334,0.98,0.9733333333333334,0.9866666666666668,0.98,0.9866666666666668,0.98
30,Ham,0.6095238095238096,0.6571428571428571,0.7047619047619048,0.6761904761904762,0.7333333333333333,0.6666666666666666,0.7142857142857143,0.638095238095238,0.6857142857142857,0.6666666666666666
31,HandOutlines,0.8729729729729729,0.8783783783783784,0.8783783783783784,0.8729729729729729,0.8675675675675676,0.8783783783783784,0.8675675675675676,0.8675675675675676,0.8729729729729729,0.8756756756756757
32,Haptics,0.4285714285714285,0.4285714285714285,0.4188311688311688,0.4512987012987013,0.448051948051948,0.4285714285714285,0.435064935064935,0.4155844155844156,0.4383116883116883,0.4318181818181818
33,Herring,0.578125,0.59375,0.59375,0.578125,0.625,0.59375,0.59375,0.59375,0.546875,0.6875
34,InlineSkate,0.3581818181818181,0.3545454545454545,0.3618181818181818,0.3836363636363636,0.3454545454545454,0.3345454545454545,0.4036363636363636,0.3763636363636363,0.3345454545454545,0.3690909090909091
35,InsectWingbeatSound,0.5843434343434344,0.5833333333333334,0.5898989898989899,0.5924242424242424,0.5727272727272728,0.5757575757575758,0.5858585858585859,0.5914141414141414,0.6,0.5823232323232324
36,ItalyPowerDemand,0.957240038872692,0.9620991253644317,0.9591836734693876,0.957240038872692,0.956268221574344,0.9591836734693876,0.956268221574344,0.957240038872692,0.956268221574344,0.9611273080660836
37,LargeKitchenAppliances,0.7626666666666667,0.7493333333333333,0.7546666666666667,0.752,0.7493333333333333,0.7546666666666667,0.7626666666666667,0.7626666666666667,0.7626666666666667,0.76
38,Lightning2,0.7049180327868853,0.7377049180327869,0.639344262295082,0.7704918032786885,0.6885245901639344,0.8032786885245902,0.7377049180327869,0.7704918032786885,0.7540983606557377,0.7377049180327869
39,Lightning7,0.7808219178082192,0.7534246575342466,0.7534246575342466,0.7397260273972602,0.7534246575342466,0.7671232876712328,0.7534246575342466,0.7534246575342466,0.7534246575342466,0.7671232876712328
40,Mallat,0.9663113006396588,0.9663113006396588,0.9658848614072496,0.96545842217484,0.9633262260127932,0.969722814498934,0.964179104477612,0.9650319829424308,0.967590618336887,0.9667377398720682
41,Meat,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332
42,MedicalImages,0.7473684210526316,0.7592105263157894,0.7539473684210526,0.756578947368421,0.7421052631578947,0.7539473684210526,0.7539473684210526,0.7460526315789474,0.75,0.7526315789473684
43,MiddlePhalanxOutlineCorrect,0.7525773195876289,0.7491408934707904,0.7869415807560137,0.7422680412371134,0.7835051546391752,0.7938144329896907,0.7663230240549829,0.7903780068728522,0.8041237113402062,0.7491408934707904
44,MiddlePhalanxOutlineAgeGroup,0.525974025974026,0.551948051948052,0.5324675324675324,0.512987012987013,0.5324675324675324,0.487012987012987,0.5064935064935064,0.5324675324675324,0.5454545454545454,0.5
45,MiddlePhalanxTW,0.474025974025974,0.5,0.474025974025974,0.4545454545454545,0.461038961038961,0.525974025974026,0.5064935064935064,0.5,0.4805194805194805,0.525974025974026
46,MoteStrain,0.9121405750798722,0.9033546325878594,0.9129392971246006,0.9177316293929711,0.90814696485623,0.920926517571885,0.9041533546325878,0.9169329073482428,0.9121405750798722,0.9185303514376996
47,NonInvasiveFetalECGThorax1,0.9038167938931296,0.9078880407124682,0.9053435114503816,0.9083969465648856,0.9073791348600508,0.9002544529262086,0.9104325699745548,0.9063613231552164,0.905852417302799,0.9073791348600508
48,NonInvasiveFetalECGThorax2,0.9267175572519084,0.9302798982188296,0.9292620865139948,0.9318066157760814,0.9292620865139948,0.926208651399491,0.9307888040712468,0.9307888040712468,0.9282442748091604,0.924173027989822
49,OliveOil,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.8333333333333334,0.8
50,OSULeaf,0.8099173553719008,0.8057851239669421,0.8181818181818182,0.8264462809917356,0.8223140495867769,0.8223140495867769,0.7851239669421488,0.8099173553719008,0.8264462809917356,0.8140495867768595
51,PhalangesOutlinesCorrect,0.7832167832167832,0.7668997668997669,0.7773892773892774,0.782051282051282,0.7738927738927739,0.7715617715617715,0.789044289044289,0.7797202797202797,0.782051282051282,0.7808857808857809
52,Phoneme,0.0216244725738396,0.0242616033755274,0.020042194092827,0.0537974683544303,0.0791139240506329,0.0981012658227848,0.0247890295358649,0.0184599156118143,0.0279535864978902,0.0274261603375527
53,Plane,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,ProximalPhalanxOutlineCorrect,0.845360824742268,0.8556701030927835,0.8350515463917526,0.845360824742268,0.852233676975945,0.845360824742268,0.8556701030927835,0.8419243986254296,0.8591065292096219,0.845360824742268
55,ProximalPhalanxOutlineAgeGroup,0.7951219512195122,0.7951219512195122,0.8097560975609757,0.7902439024390244,0.7902439024390244,0.7902439024390244,0.7951219512195122,0.7804878048780488,0.8048780487804879,0.7853658536585366
56,ProximalPhalanxTW,0.7170731707317073,0.7268292682926829,0.7170731707317073,0.7268292682926829,0.7170731707317073,0.7317073170731707,0.7121951219512195,0.6878048780487804,0.7121951219512195,0.7170731707317073
57,RefrigerationDevices,0.5066666666666667,0.5173333333333333,0.5013333333333333,0.4986666666666666,0.4826666666666667,0.5093333333333333,0.5066666666666667,0.5306666666666666,0.4906666666666666,0.4666666666666667
58,ScreenType,0.416,0.448,0.3946666666666666,0.376,0.4133333333333333,0.424,0.408,0.424,0.4026666666666667,0.3813333333333333
59,ShapeletSim,0.9944444444444444,0.9944444444444444,0.9944444444444444,1.0,1.0,1.0,1.0,0.9944444444444444,1.0,1.0
60,ShapesAll,0.8383333333333334,0.8383333333333334,0.8433333333333334,0.85,0.84,0.83,0.8433333333333334,0.8416666666666667,0.835,0.845
61,SmallKitchenAppliances,0.736,0.7386666666666667,0.7413333333333333,0.7413333333333333,0.7173333333333334,0.7253333333333334,0.7333333333333333,0.736,0.7226666666666667,0.752
62,SonyAIBORobotSurface1,0.9317803660565724,0.9217970049916804,0.9168053244592346,0.9317803660565724,0.930116472545757,0.91846921797005,0.9234608985024958,0.91846921797005,0.9251247920133112,0.9267886855241264
63,SonyAIBORobotSurface2,0.9045120671563484,0.8929695697796433,0.912906610703043,0.9045120671563484,0.9076600209863588,0.9233997901364114,0.8898216159496327,0.9171038824763904,0.9108079748163692,0.9076600209863588
64,StarLightCurves,0.9653958232151528,0.967095677513356,0.9664885866925692,0.9666100048567264,0.9668528411850412,0.9672170956775132,0.9666100048567264,0.9677027683341428,0.9664885866925692,0.9662457503642544
65,Strawberry,0.9432432432432432,0.9486486486486486,0.9378378378378378,0.9432432432432432,0.9378378378378378,0.9432432432432432,0.9405405405405406,0.9405405405405406,0.9432432432432432,0.9378378378378378
66,SwedishLeaf,0.9328,0.928,0.9312,0.9296,0.9264,0.9312,0.9344,0.9328,0.9264,0.9312
67,Symbols,0.978894472361809,0.9778894472361808,0.9798994974874372,0.9809045226130654,0.9798994974874372,0.9798994974874372,0.9778894472361808,0.978894472361809,0.9778894472361808,0.9778894472361808
68,SyntheticControl,0.98,0.9833333333333332,0.9866666666666668,0.98,0.9866666666666668,0.9833333333333332,0.99,0.9766666666666668,0.99,0.99
