,dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
19,ECG200,0.87,0.87,0.85,0.87,0.91,0.87,0.84,0.88,0.89,0.88
20,ECG5000,0.9335555555555556,0.9317777777777778,0.9311111111111112,0.9362222222222222,0.9355555555555556,0.9324444444444444,0.9366666666666666,0.9348888888888888,0.934,0.9333333333333332
21,ECGFiveDays,0.9965156794425089,0.9849012775842044,0.989547038327526,0.9872241579558652,0.9825783972125436,0.9883855981416956,0.9907084785133564,0.983739837398374,0.9860627177700348,0.994192799070848
22,FaceAll,0.770414201183432,0.7745562130177515,0.7680473372781065,0.7633136094674556,0.7668639053254438,0.7781065088757396,0.7739644970414201,0.7816568047337278,0.7810650887573964,0.7698224852071006
23,FaceFour,0.5227272727272727,0.625,0.5,0.5113636363636364,0.5,0.5340909090909091,0.5113636363636364,0.5340909090909091,0.5454545454545454,0.5454545454545454
24,FacesUCR,0.8760975609756098,0.871219512195122,0.8819512195121951,0.8765853658536585,0.8653658536585366,0.8619512195121951,0.8707317073170732,0.86,0.891219512195122,0.8721951219512195
25,FiftyWords,0.6351648351648351,0.6505494505494506,0.6417582417582418,0.621978021978022,0.6791208791208792,0.6505494505494506,0.6835164835164835,0.6681318681318681,0.654945054945055,0.6527472527472528
26,Fish,0.8342857142857143,0.8742857142857143,0.8057142857142857,0.8514285714285714,0.8228571428571428,0.84,0.8342857142857143,0.8285714285714286,0.8514285714285714,0.8571428571428571
27,FordA,0.8833333333333333,0.8696969696969697,0.8696969696969697,0.8727272727272727,0.8628787878787879,0.8712121212121212,0.865909090909091,0.8825757575757576,0.875,0.8553030303030303
28,FordB,0.7246913580246913,0.7234567901234568,0.7111111111111111,0.717283950617284,0.725925925925926,0.717283950617284,0.7135802469135802,0.7160493827160493,0.7530864197530864,0.7234567901234568
29,GunPoint,0.9733333333333334,0.9533333333333334,0.96,0.96,0.9733333333333334,0.94,0.98,0.9733333333333334,0.9866666666666668,0.9866666666666668
30,Ham,0.5714285714285714,0.5904761904761905,0.5047619047619047,0.580952380952381,0.5619047619047619,0.580952380952381,0.5428571428571428,0.6,0.5523809523809524,0.5714285714285714
31,HandOutlines,0.8486486486486486,0.8594594594594595,0.8351351351351352,0.8783783783783784,0.8756756756756757,0.8324324324324325,0.8837837837837837,0.8216216216216217,0.8594594594594595,0.8864864864864865
32,Haptics,0.3798701298701298,0.3961038961038961,0.3668831168831168,0.3766233766233766,0.3766233766233766,0.3701298701298701,0.3831168831168831,0.3863636363636363,0.3733766233766233,0.3701298701298701
33,Herring,0.53125,0.59375,0.5625,0.640625,0.515625,0.546875,0.578125,0.53125,0.453125,0.640625
34,InlineSkate,0.4254545454545455,0.4036363636363636,0.4072727272727273,0.3854545454545454,0.3872727272727272,0.4236363636363636,0.4145454545454545,0.4,0.4109090909090909,0.4054545454545454
35,InsectWingbeatSound,0.4671717171717172,0.4772727272727273,0.4656565656565656,0.4823232323232323,0.4742424242424242,0.4616161616161616,0.4848484848484848,0.4636363636363636,0.4686868686868687,0.4762626262626263
36,ItalyPowerDemand,0.9552964042759962,0.9523809523809524,0.9601554907677357,0.9552964042759962,0.9543245869776482,0.957240038872692,0.9523809523809524,0.9552964042759962,0.9514091350826044,0.9552964042759962
37,LargeKitchenAppliances,0.7573333333333333,0.808,0.7866666666666666,0.768,0.7733333333333333,0.776,0.7573333333333333,0.7893333333333333,0.7626666666666667,0.7866666666666666
38,Lightning2,0.8524590163934426,0.8360655737704918,0.8032786885245902,0.8360655737704918,0.8032786885245902,0.8032786885245902,0.8032786885245902,0.819672131147541,0.7540983606557377,0.8032786885245902
39,Lightning7,0.7671232876712328,0.7534246575342466,0.7123287671232876,0.6986301369863014,0.7397260273972602,0.726027397260274,0.726027397260274,0.7397260273972602,0.7397260273972602,0.684931506849315
40,Mallat,0.9168443496801706,0.9202558635394456,0.9257995735607676,0.9402985074626866,0.935181236673774,0.93091684434968,0.8874200426439233,0.9317697228144988,0.9275053304904052,0.9006396588486141
41,Meat,0.8166666666666667,0.95,0.85,0.8333333333333334,0.7333333333333333,0.8666666666666667,0.7666666666666667,0.9333333333333332,0.8666666666666667,0.8333333333333334
42,MedicalImages,0.7276315789473684,0.725,0.7131578947368421,0.7236842105263158,0.7223684210526315,0.725,0.7263157894736842,0.7302631578947368,0.725,0.7368421052631579
43,MiddlePhalanxOutlineCorrect,0.7457044673539519,0.7216494845360825,0.7353951890034365,0.7594501718213058,0.7560137457044673,0.7628865979381443,0.7560137457044673,0.7628865979381443,0.7319587628865979,0.7594501718213058
44,MiddlePhalanxOutlineAgeGroup,0.551948051948052,0.5,0.461038961038961,0.551948051948052,0.5194805194805194,0.474025974025974,0.525974025974026,0.5324675324675324,0.5584415584415584,0.5454545454545454
45,MiddlePhalanxTW,0.4935064935064935,0.538961038961039,0.512987012987013,0.525974025974026,0.5064935064935064,0.4805194805194805,0.538961038961039,0.487012987012987,0.512987012987013,0.5
46,MoteStrain,0.7587859424920128,0.7675718849840255,0.7699680511182109,0.7699680511182109,0.7707667731629393,0.7515974440894568,0.7811501597444089,0.7667731629392971,0.7723642172523961,0.7707667731629393
47,NonInvasiveFetalECGThorax1,0.8687022900763359,0.87735368956743,0.8661577608142493,0.8748091603053435,0.8666666666666667,0.860559796437659,0.8656488549618321,0.8580152671755725,0.8763358778625954,0.8575063613231552
48,NonInvasiveFetalECGThorax2,0.8997455470737914,0.8926208651399491,0.9043256997455472,0.9048346055979644,0.9053435114503816,0.8997455470737914,0.8880407124681934,0.8966921119592876,0.8916030534351145,0.8987277353689568
49,OliveOil,0.8,0.6,0.7,0.7333333333333333,0.6,0.6333333333333333,0.6666666666666666,0.7333333333333333,0.6666666666666666,0.7333333333333333
50,OSULeaf,0.6652892561983471,0.6487603305785123,0.6570247933884298,0.6735537190082644,0.6198347107438017,0.6446280991735537,0.6487603305785123,0.6570247933884298,0.6818181818181818,0.6528925619834711
51,PhalangesOutlinesCorrect,0.7692307692307693,0.7447552447552448,0.7645687645687645,0.7703962703962703,0.7564102564102564,0.7680652680652681,0.7668997668997669,0.7634032634032634,0.7703962703962703,0.7494172494172494
52,Phoneme,0.1882911392405063,0.1988396624472573,0.1988396624472573,0.1893459915611814,0.1840717299578059,0.1919831223628691,0.1977848101265822,0.1904008438818565,0.1972573839662447,0.1888185654008438
53,Plane,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,ProximalPhalanxOutlineCorrect,0.8281786941580757,0.8109965635738832,0.7903780068728522,0.8041237113402062,0.8350515463917526,0.8247422680412371,0.7731958762886598,0.8247422680412371,0.8247422680412371,0.8006872852233677
55,ProximalPhalanxOutlineAgeGroup,0.8097560975609757,0.7951219512195122,0.7902439024390244,0.8097560975609757,0.7853658536585366,0.8097560975609757,0.7658536585365854,0.7902439024390244,0.7853658536585366,0.7609756097560976
56,ProximalPhalanxTW,0.7121951219512195,0.7024390243902439,0.7170731707317073,0.751219512195122,0.7170731707317073,0.7317073170731707,0.6926829268292682,0.7463414634146341,0.7121951219512195,0.697560975609756
57,RefrigerationDevices,0.496,0.5013333333333333,0.5013333333333333,0.5013333333333333,0.4826666666666667,0.5066666666666667,0.4773333333333333,0.4853333333333333,0.504,0.4906666666666666
58,ScreenType,0.4,0.4026666666666667,0.4293333333333333,0.4266666666666667,0.3866666666666666,0.3893333333333333,0.44,0.448,0.4,0.416
59,ShapeletSim,0.5166666666666667,0.5611111111111111,0.5,0.5666666666666667,0.5722222222222222,0.5388888888888889,0.5555555555555556,0.5666666666666667,0.5777777777777777,0.5333333333333333
60,ShapesAll,0.815,0.8033333333333333,0.7916666666666666,0.8233333333333334,0.7766666666666666,0.81,0.8166666666666667,0.81,0.825,0.7916666666666666
61,SmallKitchenAppliances,0.6,0.6106666666666667,0.608,0.6266666666666667,0.616,0.5973333333333334,0.6213333333333333,0.6293333333333333,0.6346666666666667,0.656
62,SonyAIBORobotSurface1,0.891846921797005,0.8519134775374376,0.891846921797005,0.8652246256239601,0.8585690515806988,0.8502495840266223,0.8502495840266223,0.8519134775374376,0.9267886855241264,0.8685524126455907
63,SonyAIBORobotSurface2,0.8730325288562435,0.8583420776495279,0.844700944386149,0.8541448058761805,0.8415529905561385,0.8268625393494229,0.832109129066107,0.8352570828961176,0.8405036726128017,0.8436516264428122
64,StarLightCurves,0.9594463331714423,0.9617532782904322,0.9604176784847012,0.9595677513355998,0.9562894609033512,0.9594463331714423,0.9607819329771734,0.9598105876639144,0.958596406022341,0.9582321515298688
65,Strawberry,0.9432432432432432,0.9405405405405406,0.945945945945946,0.9405405405405406,0.9405405405405406,0.9405405405405406,0.9513513513513514,0.9486486486486486,0.9513513513513514,0.9405405405405406
66,SwedishLeaf,0.92,0.9184,0.9184,0.9232,0.928,0.9152,0.9216,0.9104,0.9216,0.92
67,Symbols,0.9728643216080402,0.971859296482412,0.971859296482412,0.9678391959798996,0.963819095477387,0.957788944723618,0.9738693467336684,0.9678391959798996,0.970854271356784,0.963819095477387
68,SyntheticControl,0.9866666666666668,0.9866666666666668,0.9766666666666668,0.9733333333333334,0.9833333333333332,0.9833333333333332,0.9866666666666668,0.9833333333333332,0.98,0.9833333333333332
69,ToeSegmentation1,0.8859649122807017,0.9035087719298246,0.8859649122807017,0.8771929824561403,0.881578947368421,0.8947368421052632,0.881578947368421,0.912280701754386,0.912280701754386,0.9166666666666666
70,ToeSegmentation2,0.9076923076923076,0.8846153846153846,0.9230769230769232,0.9230769230769232,0.9076923076923076,0.9307692307692308,0.9307692307692308,0.8846153846153846,0.9230769230769232,0.9076923076923076
71,Trace,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,TwoLeadECG,0.9894644424934153,0.9833187006145742,0.9850746268656716,0.9727831431079894,0.9859525899912204,0.9789288849868304,0.9956101843722563,0.9552238805970148,0.9912203687445128,0.9798068481123792
73,TwoPatterns,0.99925,0.99925,0.9995,0.9995,0.99975,1.0,1.0,0.9995,0.99925,0.9995
74,UWaveGestureLibraryX,0.7191513121161363,0.7001675041876047,0.7077051926298158,0.7124511446119486,0.7292015633724176,0.724176437744277,0.7185929648241206,0.7169179229480737,0.7121719709659409,0.7169179229480737
75,UWaveGestureLibraryY,0.6345616973757677,0.6259073143495254,0.6415410385259631,0.6443327749860414,0.6367950865438302,0.6401451702959241,0.6401451702959241,0.6337241764377443,0.6359575656058069,0.6549413735343383
76,UWaveGestureLibraryZ,0.6728084868788387,0.647962032384143,0.6697375767727527,0.669179229480737,0.6610831937465104,0.6658291457286433,0.6641541038525963,0.6716917922948074,0.6633165829145728,0.6655499720826354
77,UWaveGestureLibraryAll,0.8143495254048018,0.8068118369625907,0.8084868788386377,0.7967615857063093,0.7917364600781687,0.8068118369625907,0.7791736460078169,0.8006700167504187,0.7858738135120045,0.8310999441652708
78,Wafer,0.994970798182998,0.994646333549643,0.994646333549643,0.994970798182998,0.9948085658663206,0.9948085658663206,0.9951330304996756,0.9964308890330954,0.994970798182998,0.994646333549643
79,Wine,0.4444444444444444,0.4814814814814814,0.3888888888888889,0.3888888888888889,0.5,0.4629629629629629,0.4629629629629629,0.4259259259259259,0.4074074074074074,0.5185185185185185
80,WordSynonyms,0.6394984326018809,0.6347962382445141,0.6473354231974922,0.6300940438871473,0.6332288401253918,0.6410658307210031,0.6363636363636364,0.6128526645768025,0.6269592476489029,0.6473354231974922
81,Worms,0.7272727272727273,0.7012987012987013,0.6883116883116883,0.7402597402597403,0.6883116883116883,0.7012987012987013,0.7012987012987013,0.7142857142857143,0.7012987012987013,0.6363636363636364
82,WormsTwoClass,0.7922077922077922,0.7402597402597403,0.7402597402597403,0.8181818181818182,0.7012987012987013,0.7532467532467533,0.7272727272727273,0.7662337662337663,0.7532467532467533,0.7402597402597403
83,Yoga,0.8056666666666666,0.83,0.813,0.8233333333333334,0.819,0.824,0.8336666666666667,0.822,0.8153333333333334,0.8336666666666667
