dataset,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
Fish,0.84,0.8228571428571428,0.8342857142857143,0.8457142857142858,0.8171428571428572,0.8114285714285714,0.8742857142857143,0.8228571428571428,0.8285714285714286,0.8285714285714286
FordA,0.871969696969697,0.8704545454545455,0.8803030303030303,0.8590909090909091,0.8765151515151515,0.8651515151515151,0.8606060606060606,0.8628787878787879,0.8674242424242424,0.8765151515151515
FordB,0.7185185185185186,0.7271604938271605,0.7123456790123457,0.7333333333333333,0.7148148148148148,0.717283950617284,0.7234567901234568,0.7395061728395061,0.7197530864197531,0.7037037037037037
GunPoint,0.96,0.9733333333333334,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.98,0.96,0.9733333333333334,0.9733333333333334,0.96
Ham,0.6,0.5904761904761905,0.6095238095238096,0.5619047619047619,0.6476190476190476,0.5904761904761905,0.6095238095238096,0.5619047619047619,0.5619047619047619,0.5523809523809524
HandOutlines,0.8783783783783784,0.8729729729729729,0.8621621621621621,0.8648648648648649,0.8540540540540541,0.8810810810810811,0.8594594594594595,0.8513513513513513,0.8891891891891892,0.8837837837837837
Haptics,0.3506493506493506,0.3863636363636363,0.3831168831168831,0.3863636363636363,0.3733766233766233,0.3766233766233766,0.3766233766233766,0.3961038961038961,0.3571428571428571,0.3831168831168831
Herring,0.546875,0.625,0.59375,0.53125,0.609375,0.59375,0.578125,0.53125,0.515625,0.578125
InlineSkate,0.4181818181818181,0.4,0.4163636363636364,0.4327272727272727,0.3763636363636363,0.4090909090909091,0.42,0.4163636363636364,0.4,0.3927272727272727
InsectWingbeatSound,0.4803030303030303,0.4535353535353535,0.4636363636363636,0.4601010101010101,0.4686868686868687,0.4626262626262626,0.4621212121212121,0.4782828282828283,0.4656565656565656,0.4818181818181818
ItalyPowerDemand,0.9504373177842566,0.95821185617104,0.9591836734693876,0.9494655004859086,0.9533527696793004,0.9552964042759962,0.9591836734693876,0.9552964042759962,0.957240038872692,0.9601554907677357
LargeKitchenAppliances,0.768,0.768,0.776,0.7626666666666667,0.7653333333333333,0.8,0.792,0.784,0.7866666666666666,0.792
Lightning2,0.819672131147541,0.819672131147541,0.8688524590163934,0.8032786885245902,0.819672131147541,0.8524590163934426,0.8360655737704918,0.8360655737704918,0.8360655737704918,0.8524590163934426
Lightning7,0.7671232876712328,0.7397260273972602,0.726027397260274,0.6986301369863014,0.7123287671232876,0.7534246575342466,0.726027397260274,0.7397260273972602,0.726027397260274,0.7534246575342466
Mallat,0.899360341151386,0.913006396588486,0.9070362473347549,0.9287846481876332,0.929637526652452,0.929637526652452,0.904904051172708,0.9176972281449892,0.9100213219616204,0.9339019189765458
Meat,0.8666666666666667,0.8666666666666667,0.7666666666666667,0.7833333333333333,0.9166666666666666,0.8166666666666667,0.8166666666666667,0.6666666666666666,0.8166666666666667,0.8333333333333334
MedicalImages,0.7236842105263158,0.7315789473684211,0.7328947368421053,0.7223684210526315,0.7381578947368421,0.7197368421052631,0.7197368421052631,0.7197368421052631,0.7355263157894737,0.7381578947368421
MiddlePhalanxOutlineCorrect,0.7250859106529209,0.738831615120275,0.7869415807560137,0.7800687285223368,0.7869415807560137,0.7731958762886598,0.7457044673539519,0.7044673539518901,0.7594501718213058,0.738831615120275
MiddlePhalanxOutlineAgeGroup,0.5844155844155844,0.551948051948052,0.512987012987013,0.5064935064935064,0.512987012987013,0.5714285714285714,0.512987012987013,0.525974025974026,0.4545454545454545,0.448051948051948
MiddlePhalanxTW,0.512987012987013,0.4935064935064935,0.512987012987013,0.4675324675324675,0.487012987012987,0.5,0.461038961038961,0.512987012987013,0.4935064935064935,0.487012987012987
MoteStrain,0.7635782747603834,0.7715654952076677,0.7859424920127795,0.7571884984025559,0.7699680511182109,0.768370607028754,0.7643769968051118,0.7715654952076677,0.7723642172523961,0.7763578274760383
NonInvasiveFetalECGThorax1,0.8697201017811704,0.8676844783715013,0.8809160305343512,0.8849872773536895,0.8727735368956743,0.860559796437659,0.8768447837150127,0.8646310432569975,0.8600508905852418,0.8651399491094147
