dataset,MDLP_L,MDLP_H,SAX_L,SAX_H,KM_L,KM_H
Haptics,0.424025974025974,0.4324675324675324,0.3779220779220778,0.37694805194805187,0.3058441558441559,0.3181818181818181
Herring,0.5828125,0.5984375,0.559375,0.5703125,0.5328125,0.5515625
InlineSkate,0.35927272727272724,0.36218181818181816,0.40636363636363637,0.4081818181818182,0.21709090909090906,0.23145454545454544
InsectWingbeatSound,0.5842424242424242,0.5858080808080808,0.4721717171717172,0.4676767676767676,0.3140909090909091,0.30666666666666664
ItalyPowerDemand,0.9594752186588922,0.95821185617104,0.954907677356657,0.9557823129251701,0.7748299319727892,0.7253644314868805
LargeKitchenAppliances,0.7629333333333334,0.7570666666666668,0.7765333333333334,0.7794666666666666,0.6901333333333333,0.6962666666666668
Lightning2,0.7081967213114754,0.7344262295081967,0.8114754098360656,0.8344262295081968,0.6426229508196721,0.619672131147541
Lightning7,0.7547945205479453,0.7575342465753424,0.7287671232876712,0.7342465753424656,0.4164383561643835,0.4465753424657534
Mallat,0.9657569296375268,0.9660554371002131,0.9216631130063966,0.9173987206823029,0.5169296375266524,0.5295095948827292
Meat,0.9333333333333333,0.9333333333333333,0.8450000000000001,0.8150000000000001,0.7699999999999999,0.75
MedicalImages,0.7493421052631579,0.751578947368421,0.7255263157894737,0.7281578947368421,0.5094736842105264,0.535
MiddlePhalanxOutlineCorrect,0.7694158075601374,0.7718213058419243,0.7491408934707904,0.7539518900343642,0.677319587628866,0.6611683848797252
MiddlePhalanxOutlineAgeGroup,0.5396103896103897,0.5227272727272727,0.5220779220779221,0.5181818181818182,0.5,0.47597402597402594
MiddlePhalanxTW,0.5,0.4902597402597403,0.5097402597402597,0.4928571428571429,0.4675324675324674,0.459090909090909
MoteStrain,0.9126996805111822,0.9126996805111821,0.7679712460063899,0.7701277955271566,0.6087859424920128,0.6447284345047924
NonInvasiveFetalECGThorax1,0.9056488549618319,0.9063104325699747,0.867175572519084,0.8703307888040712,0.6823918575063614,0.6985241730279899
NonInvasiveFetalECGThorax2,0.9288549618320611,0.9287531806615774,0.8981679389312976,0.8989312977099239,0.733384223918575,0.757150127226463
OliveOil,0.8400000000000001,0.8333333333333333,0.6866666666666668,0.7766666666666667,0.66,0.6666666666666667
OSULeaf,0.8161157024793388,0.8140495867768595,0.6549586776859504,0.6578512396694214,0.45165289256198343,0.46239669421487595
PhalangesOutlinesCorrect,0.7773892773892773,0.7786713286713287,0.7623543123543124,0.7686480186480187,0.6933566433566434,0.6867132867132867
Phoneme,0.039029535864978857,0.03955696202531642,0.19256329113924045,0.19836497890295357,0.11366033755274256,0.11529535864978899
Plane,1.0,1.0,1.0,1.0,0.7628571428571428,0.82
ProximalPhalanxOutlineCorrect,0.852233676975945,0.8481099656357387,0.8116838487972509,0.8178694158075601,0.7378006872852234,0.7484536082474227
ProximalPhalanxOutlineAgeGroup,0.7858536585365853,0.7936585365853658,0.7902439024390243,0.7858536585365853,0.7556097560975609,0.7517073170731706
ProximalPhalanxTW,0.7268292682926828,0.7165853658536584,0.7180487804878047,0.7239024390243901,0.6639024390243902,0.6668292682926829
RefrigerationDevices,0.4976,0.5010666666666668,0.49466666666666664,0.49413333333333326,0.4442666666666666,0.44480000000000003
ScreenType,0.4111999999999999,0.40879999999999994,0.41386666666666666,0.41279999999999994,0.3706666666666666,0.35839999999999994
ShapeletSim,0.9988888888888889,0.9977777777777778,0.5488888888888888,0.5522222222222222,0.5166666666666667,0.5338888888888889
ShapesAll,0.8391666666666666,0.8405000000000001,0.8063333333333335,0.8001666666666667,0.3681666666666666,0.3503333333333333
SmallKitchenAppliances,0.7346666666666667,0.7344,0.6199999999999999,0.6215999999999999,0.5205333333333334,0.5264
SonyAIBORobotSurface1,0.9159733777038269,0.9244592346089849,0.8707154742096506,0.8738768718801996,0.6930116472545758,0.6733777038269553
